ID,MNAIS,AGEXACTM,DEPDOM,AGEXACTP,count
4914,11,42,1,45,1
4916,11,19,1,22,3
4919,11,26,1,37,4
4920,2,37,1,29,1
4922,4,29,1,41,5
4928,10,28,1,39,5
4930,12,42,1,39,2
4953,5,34,1,44,5
4962,9,31,1,41,5
4995,11,28,1,42,4
4996,11,28,1,42,4
4997,12,40,1,28,2
5004,12,46,1,46,4
5009,7,28,1,40,2
5012,1,26,1,36,5
5036,8,21,1,31,4
5038,9,33,1,42,4
5041,9,28,1,39,5
5049,12,43,1,45,2
5053,3,21,1,32,3
5059,5,28,1,39,5
5068,12,20,1,21,3
5081,3,22,1,34,2
5098,11,29,1,39,5
5107,5,22,1,20,5
5127,8,28,1,21,2
5128,2,26,1,20,3
5131,8,22,1,32,3
5160,1,31,1,43,4
5164,12,41,1,34,2
5167,6,44,1,46,5
5181,1,30,1,44,2
5186,5,25,1,39,4
5193,2,33,1,24,1
5208,11,24,1,21,2
5225,6,27,1,42,3
5241,10,41,1,38,2
5247,2,20,1,30,4
5258,8,21,1,31,4
5260,9,26,1,36,5
5265,11,40,1,26,1
5275,1,41,1,35,3
5276,1,41,1,35,3
5277,1,29,1,24,3
5294,8,28,1,43,2
5307,10,26,1,41,1
5330,7,32,1,26,3
5336,12,38,1,28,1
5343,6,24,1,46,2
5346,12,24,1,36,2
5358,3,31,1,23,2
5359,3,19,1,33,2
5362,5,41,1,45,5
5366,6,39,1,45,4
5367,7,18,1,21,3
5372,8,34,1,44,5
5373,8,34,1,44,5
5389,12,25,1,35,5
5392,4,19,1,20,4
5399,8,35,1,30,4
5401,8,33,1,26,2
5416,4,39,1,35,4
5431,4,24,1,34,5
5442,12,31,1,41,5
5444,11,19,1,18,1
5446,10,34,1,28,2
5452,11,26,1,22,2
5499,11,33,1,44,3
5511,4,18,1,20,4
5518,4,22,1,20,5
5542,2,29,1,23,4
5569,11,44,1,44,4
5570,11,44,1,44,4
5608,7,42,1,43,3
5635,7,24,1,35,5
5647,3,38,1,30,2
5650,11,23,1,21,4
5652,8,19,1,21,3
5656,2,39,1,35,4
5695,8,32,1,42,3
5726,3,40,1,35,3
5772,9,43,1,41,1
5806,12,42,1,40,5
5819,12,24,1,42,4
5828,7,38,1,26,1
5829,9,27,1,23,3
5853,8,43,1,46,5
5863,4,18,1,36,1
5866,11,40,1,45,1
5889,2,41,1,41,5
5893,5,40,1,38,3
5905,6,41,1,45,5
5911,11,40,1,32,1
5929,6,26,1,45,2
5974,6,33,1,27,2
5989,2,39,1,40,5
6014,3,25,1,38,2
6026,7,26,1,37,4
6029,5,19,1,29,2
6034,11,24,1,34,5
6035,11,33,1,43,4
6045,7,25,1,37,2
6067,10,17,1,26,1
6169,2,19,1,22,3
6190,8,40,1,30,1
6206,8,24,1,36,2
6217,12,18,1,23,5
6226,1,38,1,31,2
6236,9,18,1,21,3
6239,10,29,1,41,5
6303,3,17,1,22,3
6306,4,28,1,40,2
6313,8,43,1,37,2
6316,9,26,1,20,3
6324,9,18,1,23,5
6326,4,25,1,22,4
6337,1,27,1,21,1
6338,3,34,1,23,2
6359,1,17,1,24,1
6361,3,39,1,30,3
6368,7,18,1,25,2
6379,11,17,1,22,3
6380,11,37,1,31,4
6387,7,20,1,19,4
6392,5,36,1,27,2
6393,11,31,1,44,2
6396,6,44,1,40,1
6399,12,17,1,18,1
6401,7,37,1,30,4
6424,9,40,1,33,2
6427,3,39,1,33,5
6435,10,26,1,36,5
6437,2,20,1,28,2
6444,10,40,1,38,3
6461,10,22,1,20,5
6469,11,35,1,30,4
6472,9,33,1,42,4
6475,3,43,1,36,1
6476,7,28,1,24,4
6495,3,44,1,45,1
6504,4,44,1,46,5
6517,9,41,1,34,2
6527,10,43,1,46,5
6538,12,20,1,32,4
6551,1,42,1,33,1
6561,8,25,1,40,3
6568,1,23,1,43,2
6570,1,19,1,26,5
6575,2,21,1,38,1
6581,2,21,1,31,4
6596,3,42,1,40,5
6599,3,20,1,38,1
6601,3,24,1,38,1
6602,3,41,1,36,3
6609,4,29,1,42,5
6617,4,35,1,27,2
6618,4,26,1,38,4
6632,5,25,1,36,5
6634,5,38,1,29,1
6636,5,18,1,22,2
6641,5,44,1,44,4
6653,6,20,1,30,4
6659,6,20,1,27,4
6673,7,44,1,46,5
6676,7,21,1,31,4
6700,9,24,1,22,3
6703,9,23,1,20,1
6709,8,38,1,45,3
6740,11,30,1,41,4
6748,11,32,1,24,3
